food_name,image_link,category,calories,fats (g),carbs (g),proteins (g),vitamins (mg),mood (-10 to 10),CLAIMED BY
pho,https://img.freepik.com/free-photo/watercolor-vietnamese-soup-pho-isolated-white-background_91682-80.jpg?w=740,dinner,399,10,54,28,502,6,Kailey
pecan pie,https://previews.123rf.com/images/cokemomo/cokemomo1411/cokemomo141100018/33397347-a-slice-of-pecan-pie-isolated-on-white-background.jpg,dessert,464,19,68,5.1,139.2,7,Kailey
corn flakes with milk,https://img.freepik.com/free-photo/falling-corn-flakes-with-milk-splash-isolated-white-background_88281-5353.jpg?w=740,breakfast,210,0,45,9,572,3,Kailey
biscuit with gravy,https://img.freepik.com/free-photo/traditional-american-biscuits-gravy-breakfast-isolated_123827-17548.jpg?w=900,breakfast,493,32,37,14,510.2,4,Kailey
bagel with cream cheese,https://as1.ftcdn.net/v2/jpg/01/03/27/08/1000_F_103270897_cjKZsPE8NKTQy0AgLFrzqzopLg7UWjMy.jpg,breakfast,379,11,57,13,263.8,5,Kailey
avocado toast,https://img.freepik.com/free-photo/delicious-toast-with-avocado-isolated-white-background_185193-27477.jpg?w=900,lunch,190,13,17,4,360.9,4,Kailey
gyro,https://previews.123rf.com/images/boettcher/boettcher1305/boettcher130500005/19619235-gyros-pita-fastfood-mit-brot-auf-wei%C3%9Fem-hintergrund.jpg,lunch,651,19,72,46,976.7,5,Kailey
chicken caesar wrap,https://previews.123rf.com/images/griffin024/griffin0241604/griffin024160400124/57843649-two-chicken-caesar-salad-sandwich-wraps-on-a-plate-isolated-against-white.jpg,lunch,600,30,50,35,303.5,6,Kailey
fish tacos,https://img.freepik.com/free-photo/delicious-fish-tacos-isolated-white-top-view_495423-964.jpg?w=740,lunch,480,19.4,50,24,774,5,Kailey
beef fried rice,https://previews.123rf.com/images/ryzhkov86/ryzhkov861710/ryzhkov86171000082/87431327-teppanyaki-fried-rice-with-beef-vegetables-fresh-herbs-and-seasonings-in-dark-bowl-on-white-isolated.jpg,dinner,352,8,55,16,211.5,7,Kailey
corn nuts,https://previews.123rf.com/images/bwf211/bwf2111008/bwf211100800066/7564096-a-large-serving-of-roasted-and-salted-corn-nuts-on-a-white-background-.jpg,snacks,125,4.4,20,2.4,81,3,Kailey
beef jerky,https://previews.123rf.com/images/domnicky/domnicky1909/domnicky190900014/129301319-portion-of-beef-jerky-isolated-on-a-white-background-close-up-.jpg,snacks,116,9,3.1,9.4,176.2,4,Kailey
banana bread,https://img.freepik.com/free-photo/homemade-banana-bread-isolated-white-background_123827-16907.jpg?w=900,breakfast,240,9,39,3,1.1,4,Kailey
enchiladas,https://img.freepik.com/free-vector/enchilada-plate-mexican-traditional-food-vector-vintage-hatching-color-illustration-isolated-white-background-hand-drawn-design_496122-275.jpg?w=740,lunch,346,17.6,26,22,745.2,3,Kailey
huevos rancheros,https://previews.123rf.com/images/chandlervid85/chandlervid851706/chandlervid85170600042/79420578-mexican-breakfast-huevos-rancheros-in-iron-frying-pan-isolated-on-white-background.jpg,breakfast,280,15.4,20,16.2,632.6,5,Kailey
hot cheetos,https://images.saucey.com/84441d70-2b10-4839-b89e-9bc23e4abb25.tfss-7bce3a33-cbc9-43f0-81f1-3ea710329b64-SN-CHETFLMN-SM.jpg,snacks,160,11,13,1,0.4,5,Kailey
apple crisp,https://i2.wp.com/lifemadesimplebakes.com/wp-content/uploads/2017/11/The-Best-Apple-Crisp-1-680x1020.jpg,dessert,386,8.7,75,5.1,200,7,Sean
tiramisu,"https://m.media-amazon.com/images/S/assets.wholefoodsmarket.com/PIE/product/5fd2f1869a733011da2ce195_jamierowley-2020-cen-ecommerce-pfds-tiramisufamilysizecake._TTD_._SR600,600_._QL100_.jpg",dessert,513,35,43,8.6,300,8,Sean
beer,https://static.horiba.com/fileadmin/Horiba/_processed_/4/3/csm_csm_01_02-2019_Beer_Brewing_53ef2818e5_948557e774.png,drink,206,0,17,2.2,20,8,Sean
water,https://www.sciencenews.org/wp-content/uploads/2018/11/112418_water_feat_free.jpg,drink,0,0,0,0,0,0,Sean
cinnamon roll,https://slimandhuskys.com/wp-content/uploads/2019/07/OG-cinnamon-roll.jpg,breakfast,230,10,32,3,0,5,Sean
grits,https://www.mastgeneralstore.com/prodimages/45145-DEFAULT-l.jpg,breakfast,298,11,44,9.6,320.52,0,Sean
scrambled eggs,https://assets.bonappetit.com/photos/608ad57e77a4a61b2265530a/16:9/w_2560%2Cc_limit/Basically-Salt-Scramble.jpg,breakfast,328,24,3.5,22,404.2,3,Sean
pop tarts,https://upload.wikimedia.org/wikipedia/commons/1/18/Strawberry-Pop-Tarts.jpg,breakfast,180,3,37,2,0,7,Sean
quiche,https://cdn.shopify.com/s/files/1/0123/6854/3834/products/DSC00280_2400x.jpg?v=1626812261,breakfast,160,11,12,6,0,2,Sean
hash browns,https://image.shutterstock.com/image-photo/single-partially-eaten-hash-brown-260nw-466517912.jpg,breakfast,435,27,46,4.1,20.61,4,Sean
acai bowl,https://images.squarespace-cdn.com/content/v1/558499eae4b0f4cd8ade2a14/1633528342105-7E2M5XPEKPU6BCUVPXUB/MIXED+BERRY+ACAI+bowl,breakfast,211,6,35,5,0,6,Sean
mcmuffin,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/McD-Egg-McMuffin.jpg/1280px-McD-Egg-McMuffin.jpg,breakfast,452,29,29,21,5.835,6,Sean
oreos,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Oreo-Two-Cookies.png/800px-Oreo-Two-Cookies.png,snacks,308,13.2,48.4,2.8,0,8,Sean
fruit snacks,https://cdn.theatlantic.com/media/mt/food/FruitSnacks-CC-Post.jpg,snacks,80,0,19,0,60,6,Sean
Applesauce,https://t3.ftcdn.net/jpg/04/86/19/68/360_F_486196858_P3EUTCI5nIs9gL6dB4K2QZNi9MtYwc92.jpg,snacks,170,0.4,44,0.4,195.8,4,Kyle
Orange Slices,https://static6.depositphotos.com/1020804/562/i/950/depositphotos_5627697-stock-photo-orange-slices.jpg,snacks,150,0,37,0,398.2,3,Kyle
Pretzels,https://img.freepik.com/free-photo/glazed-salted-pretzels-isolated-white-background_93675-129944.jpg?t=st=1651018192~exp=1651018792~hmac=51ba8ebaa038a97ec3cdb9d21a6ec39db08710d06ddd12eb4c87dbe9bfc0da30&w=1800,snacks,154,1.2,32,4,101.8,6,Kyle
Nachos & Cheese,https://thumbs.dreamstime.com/b/nacho-tray-melted-cheese-black-plastic-round-yellow-nachos-dip-isolated-white-background-179343942.jpg,snacks,453,28,46,5.7,562,8,Kyle
Spaghetti & Meatballs,https://www.clipartkey.com/mpngs/m/208-2083297_download-images-background-toppng-spaghetti-and-meatballs-no.png,dinner,850,28,116,35,158.2,7,Kyle
Lasagna,https://media02.stockfood.com/largepreviews/MjAxODM2OTc=/00651087-Piece-of-lasagna-on-white-background.jpg,dinner,348,12,40,19,724.8,7,Kyle
Salmon,https://img.freepik.com/free-photo/grilled-salmon-fillet-with-sesame-herb-pepper-isolated-white-background_341862-3284.jpg,dinner,344,25,3.6,24,629,5,Kyle
Grilled Shrimp,https://thumbs.dreamstime.com/b/roasted-peeled-prawn-skewer-isolated-white-background-grilled-shrimp-197789041.jpg,dinner,132,1.9,1.7,25,246.4,4,Kyle
Chicken Noodle Soup,https://t4.ftcdn.net/jpg/02/91/42/21/360_F_291422145_AKdJ7e6Zutqs0hVYZDWK0POMPkq4co4c.jpg,dinner,60,1.9,7.5,2.9,68.2,3,Kyle
Meatloaf,https://img.freepik.com/free-photo/traditional-american-meatloaf-with-ketcup-isolated-white-background_123827-20005.jpg?w=1060&t=st=1651169347~exp=1651169947~hmac=12964595a2abd46b943bbb97c305253eb8b08bd4994bbf4d4f71b269e9d325e3,dinner,240,18,4,16,2,4,Kyle
Pad Thai,https://www.kindpng.com/picc/m/7-77379_noodle-png-image-pad-thai-noodles-and-company.png,dinner,318,16,29,16,331.9,7,Kyle
Pork Fried Rice,https://media.istockphoto.com/photos/fried-rice-on-plate-isolated-on-white-background-picture-id1214326547?k=20&m=1214326547&s=612x612&w=0&h=ltmoawTrGdCnorXyJLTCcSsFsJ8RSoDjbKDLKRPVAMw=,dinner,354,8.2,55,15,267.1,6,Kyle
Turkey Sandwich,https://media.istockphoto.com/photos/sliced-smoked-turkey-sandwich-picture-id157428069?k=20&m=157428069&s=612x612&w=0&h=5TUk3W5sxif2NkILNy637Fg8HxWHaHYnlhK8_mYTJW0=,lunch,322,10,27,29,389,4,Kyle
Peanut Butter & Jelly Sandwich,https://upload.wikimedia.org/wikipedia/commons/a/a8/Peanut-Butter-Jelly-Sandwich.jpg,lunch,69,4.1,7.4,1.8,53.7,7,Kyle
Hot Dog,https://media.istockphoto.com/photos/hot-dog-with-mustard-isolated-on-white-background-picture-id1271275190?k=20&m=1271275190&s=612x612&w=0&h=IDxhAnm2_QnV0o6GmzoXror-2aCeOJiF4IVOM9ZDz2U=,lunch,120,8,1,11,20.7,5,Kyle
Sloppy Joe Sandwich,https://t4.ftcdn.net/jpg/01/14/83/99/360_F_114839937_drK7AZZSLmqrIpqJYce04TRxfgS4Imel.jpg,lunch,200,10,16,11,41.8,6,Kyle
Garden Salad,https://media.istockphoto.com/photos/green-lettuce-salad-with-mixed-vegetables-picture-id1211166193?k=20&m=1211166193&s=612x612&w=0&h=CLL8Ac-6R26YaqRCn17UI9iMEjsRVykONpLXkmg6jv4=,lunch,311,28,14,2,40.7,0,Kyle
Ham Sandwich,https://media.istockphoto.com/photos/sandwich-picture-id490653943?k=20&m=490653943&s=612x612&w=0&h=8FHxqm3UCLUU0u0nhgQ-_lyPIx1i_zbP_YLr2PY58nc=,lunch,242,8.7,26,14,404.1,4,Kyle
Poke Bowl,https://thumbs.dreamstime.com/b/hawaiian-salmon-poke-bowl-seaweed-avocado-sesame-seeds-cucumber-isolated-white-background-top-view-hawaiian-salmon-158045864.jpg,lunch,170,2,29,8,71.1,5,Kyle
Quesadilla,https://www.tacobueno.com/assets/food/quesadilla/Quesadilla_Cheese_490x360.jpg,lunch,330,18,28,13,435.3,8,Kyle
